t,solved_x,solved_y,solved_z,clock_bias_m,n_satellites_used,converged,mean_abs_residual_m,confidence,kalman_x,kalman_y,kalman_z,raw_x,raw_y,raw_z,raw_error_m,kalman_error_m
2730.0,1137295.605127431,5162890.189941956,3562432.3833248853,1.1254991773620842,6,True,1.7763450319568317,0.9999439577396195,1137297.810948805,5162891.6177648865,3562433.1678497614,1137295.605127431,5162890.189941956,3562432.3833248853,2.989833430776913,1.8200567159583547
2760.0,1137303.1467759742,5162902.435343183,3562427.3867973145,14.516013064746689,6,True,1.5565556784470875,0.9999509687397007,1137299.2630499369,5162894.561679146,3562431.594584261,1137303.1467759742,5162902.435343183,3562427.3867973145,13.572322467786542,4.13555924951881
2790.0,1137298.269888946,5162884.914484327,3562436.9591878355,-1.191616374402627,6,True,0.28206144521633786,0.9999754153669063,1137298.9908345717,5162891.917480788,3562433.0649677482,1137298.269888946,5162884.914484327,3562436.9591878355,7.523389626260613,1.8680040468058756
2820.0,1137302.326949177,5162904.557287543,3562422.802514375,15.38115868214205,6,True,0.630836887905995,0.9999142040406264,1137299.888115953,5162895.317083202,3562430.304778298,1137302.326949177,5162904.557287543,3562422.802514375,17.17972676335654,5.255813293933702
2850.0,1137291.3743205697,5162880.115050688,3562435.0289752246,-7.44056947450054,6,True,1.1233978619178135,0.9999314797507425,1137297.580526364,5162891.196705583,3562431.5852304525,1137291.3743205697,5162880.115050688,3562435.0289752246,12.996713012739216,1.236011487825518
2880.0,1137296.377312089,5162886.603955804,3562433.7343762377,-2.3286143864795794,6,True,0.5450882948935032,0.999979433752191,1137297.2497252848,5162889.934015623,3562432.176097566,1137296.377312089,5162886.603955804,3562433.7343762377,4.811690560794814,1.4348686220986893
2910.0,1137300.1654067216,5162891.364170615,3562440.6493118363,4.685799517035116,6,True,0.24980721746881804,0.9999624434426109,1137298.0454672754,5162890.324330685,3562434.4885903867,1137300.1654067216,5162891.364170615,3562440.6493118363,8.910788714636091,2.61300895571208
2940.0,1137311.033188565,5162907.708870089,3562430.0288175046,21.44504152497341,6,True,0.6629150211811066,0.9994902335239847,1137301.1483406452,5162894.477640042,3562433.423113988,1137311.033188565,5162907.708870089,3562430.0288175046,21.34579567835677,4.981173056128903
2970.0,1137301.2525412063,5162888.38503508,3562431.3785001356,0.722540224510304,6,True,1.8054546862840652,0.9999452405986967,1137301.177317193,5162892.783381801,3562432.8545388235,1137301.2525412063,5162888.38503508,3562431.3785001356,3.4824129259054626,3.604339438444452
3000.0,1137301.7890350241,5162896.581320211,3562436.204718721,8.712236123177684,6,True,0.6879519857466221,0.9999732960788771,1137301.3470083068,5162893.8369335625,3562433.7838819437,1137301.7890350241,5162896.581320211,3562436.204718721,8.108859789380848,4.734072069137748
3030.0,1137302.9097569457,5162895.071076103,3562424.056028734,6.14454852057344,6,True,1.1501824917892616,0.9999359391812881,1137301.7728426657,5162894.173225839,3562431.1331331073,1137302.9097569457,5162895.071076103,3562424.056028734,10.095806934692025,4.953031582201472
3060.0,1137297.4212224085,5162888.750798044,3562437.7303221575,-0.1481499594403115,6,True,1.1646938547492027,0.9999640146882895,1137300.5794737036,5162892.686203386,3562432.942316856,1137297.4212224085,5162888.750798044,3562437.7303221575,6.16252528202111,3.152145577891188
3090.0,1137303.142621575,5162895.020461504,3562430.795669884,5.971413727128039,6,True,1.140026144683361,0.9999384623407953,1137301.2755226484,5162893.320094984,3562432.359372978,1137303.142621575,5162895.020461504,3562430.795669884,6.5455055634808605,3.9475854005424855
